plan: 4512 slices, 9.470B positions  [win/draw/loss WITH the fifty-move rule, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   31.1%  3705/4512 slices  2.95B/9.47B positions  3.6M/s  14m elapsed, 30m left
   31.3%  3713/4512 slices  2.97B/9.47B positions  3.6M/s  14m elapsed, 30m left
   31.5%  3720/4512 slices  2.98B/9.47B positions  3.6M/s  14m elapsed, 30m left
   31.7%  3729/4512 slices  3.00B/9.47B positions  3.6M/s  14m elapsed, 30m left
   31.9%  3736/4512 slices  3.02B/9.47B positions  3.6M/s  14m elapsed, 30m left
   32.1%  3738/4512 slices  3.04B/9.47B positions  3.6M/s  14m elapsed, 30m left
   32.3%  3741/4512 slices  3.06B/9.47B positions  3.6M/s  14m elapsed, 30m left
   32.4%  3759/4512 slices  3.07B/9.47B positions  3.6M/s  14m elapsed, 30m left
   32.7%  3773/4512 slices  3.09B/9.47B positions  3.6M/s  14m elapsed, 29m left
   32.9%  3784/4512 slices  3.11B/9.47B positions  3.6M/s  14m elapsed, 29m left
   33.1%  3800/4512 slices  3.14B/9.47B positions  3.6M/s  15m elapsed, 29m left
   33.3%  3809/4512 slices  3.15B/9.47B positions  3.6M/s  15m elapsed, 29m left
   33.5%  3819/4512 slices  3.17B/9.47B positions  3.6M/s  15m elapsed, 29m left
   33.7%  3821/4512 slices  3.19B/9.47B positions  3.6M/s  15m elapsed, 29m left
   33.9%  3834/4512 slices  3.21B/9.47B positions  3.6M/s  15m elapsed, 29m left
   34.3%  3844/4512 slices  3.24B/9.47B positions  3.6M/s  15m elapsed, 29m left
   34.7%  3845/4512 slices  3.28B/9.47B positions  3.6M/s  15m elapsed, 29m left
   34.9%  3853/4512 slices  3.30B/9.47B positions  3.6M/s  15m elapsed, 29m left
   35.0%  3860/4512 slices  3.32B/9.47B positions  3.6M/s  15m elapsed, 29m left
   35.2%  3873/4512 slices  3.33B/9.47B positions  3.6M/s  15m elapsed, 28m left
   35.4%  3877/4512 slices  3.35B/9.47B positions  3.6M/s  16m elapsed, 28m left
   35.6%  3878/4512 slices  3.37B/9.47B positions  3.6M/s  16m elapsed, 28m left
   35.8%  3881/4512 slices  3.39B/9.47B positions  3.6M/s  16m elapsed, 28m left
   36.0%  3904/4512 slices  3.41B/9.47B positions  3.6M/s  16m elapsed, 28m left
   36.2%  3923/4512 slices  3.43B/9.47B positions  3.6M/s  16m elapsed, 28m left
   36.6%  3937/4512 slices  3.47B/9.47B positions  3.6M/s  16m elapsed, 28m left
   36.8%  3945/4512 slices  3.48B/9.47B positions  3.6M/s  16m elapsed, 28m left
   36.9%  3954/4512 slices  3.50B/9.47B positions  3.6M/s  16m elapsed, 28m left
   37.1%  3955/4512 slices  3.52B/9.47B positions  3.6M/s  16m elapsed, 28m left
   37.3%  3964/4512 slices  3.54B/9.47B positions  3.6M/s  17m elapsed, 28m left
   37.7%  3972/4512 slices  3.57B/9.47B positions  3.6M/s  17m elapsed, 28m left
   38.1%  3973/4512 slices  3.60B/9.47B positions  3.6M/s  17m elapsed, 27m left
   38.3%  3981/4512 slices  3.62B/9.47B positions  3.6M/s  17m elapsed, 27m left
   38.5%  3988/4512 slices  3.64B/9.47B positions  3.6M/s  17m elapsed, 27m left
   38.8%  3994/4512 slices  3.67B/9.47B positions  3.6M/s  17m elapsed, 27m left
   39.0%  4003/4512 slices  3.69B/9.47B positions  3.6M/s  17m elapsed, 27m left
   39.2%  4014/4512 slices  3.71B/9.47B positions  3.6M/s  17m elapsed, 27m left
   39.3%  4022/4512 slices  3.73B/9.47B positions  3.6M/s  17m elapsed, 27m left
   39.6%  4030/4512 slices  3.75B/9.47B positions  3.6M/s  18m elapsed, 27m left
   39.8%  4041/4512 slices  3.77B/9.47B positions  3.6M/s  18m elapsed, 27m left
   40.0%  4045/4512 slices  3.79B/9.47B positions  3.6M/s  18m elapsed, 27m left
   40.2%  4055/4512 slices  3.81B/9.47B positions  3.6M/s  18m elapsed, 27m left
   40.5%  4056/4512 slices  3.83B/9.47B positions  3.6M/s  18m elapsed, 26m left
   40.9%  4057/4512 slices  3.87B/9.47B positions  3.6M/s  18m elapsed, 26m left
   41.1%  4064/4512 slices  3.89B/9.47B positions  3.6M/s  18m elapsed, 26m left
   41.2%  4068/4512 slices  3.90B/9.47B positions  3.6M/s  18m elapsed, 26m left
   41.5%  4078/4512 slices  3.93B/9.47B positions  3.6M/s  18m elapsed, 26m left
   42.6%  4085/4512 slices  4.04B/9.47B positions  3.5M/s  19m elapsed, 26m left
   44.5%  4086/4512 slices  4.21B/9.47B positions  3.5M/s  20m elapsed, 25m left
   48.4%  4087/4512 slices  4.58B/9.47B positions  3.5M/s  22m elapsed, 23m left
   49.3%  4088/4512 slices  4.67B/9.47B positions  3.5M/s  22m elapsed, 23m left
   49.5%  4097/4512 slices  4.69B/9.47B positions  3.5M/s  22m elapsed, 23m left
   49.7%  4110/4512 slices  4.71B/9.47B positions  3.5M/s  22m elapsed, 23m left
   49.9%  4115/4512 slices  4.73B/9.47B positions  3.5M/s  23m elapsed, 23m left
