plan: 4512 slices, 9.470B positions  [win/draw/loss, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   38.5%  3991/4512 slices  3.65B/9.47B positions  3.8M/s  16m elapsed, 25m left
   38.8%  3994/4512 slices  3.67B/9.47B positions  3.8M/s  16m elapsed, 25m left
   39.0%  4003/4512 slices  3.69B/9.47B positions  3.8M/s  16m elapsed, 25m left
   39.2%  4019/4512 slices  3.71B/9.47B positions  3.8M/s  16m elapsed, 25m left
   39.6%  4030/4512 slices  3.75B/9.47B positions  3.8M/s  16m elapsed, 25m left
   39.8%  4041/4512 slices  3.77B/9.47B positions  3.8M/s  16m elapsed, 25m left
   40.0%  4047/4512 slices  3.79B/9.47B positions  3.8M/s  17m elapsed, 25m left
   40.2%  4055/4512 slices  3.81B/9.47B positions  3.8M/s  17m elapsed, 25m left
   40.5%  4056/4512 slices  3.83B/9.47B positions  3.8M/s  17m elapsed, 25m left
   40.9%  4057/4512 slices  3.87B/9.47B positions  3.8M/s  17m elapsed, 24m left
   41.1%  4065/4512 slices  3.89B/9.47B positions  3.8M/s  17m elapsed, 24m left
   41.3%  4075/4512 slices  3.91B/9.47B positions  3.8M/s  17m elapsed, 24m left
   41.5%  4078/4512 slices  3.93B/9.47B positions  3.8M/s  17m elapsed, 24m left
   42.6%  4085/4512 slices  4.04B/9.47B positions  3.8M/s  18m elapsed, 24m left
   44.5%  4086/4512 slices  4.21B/9.47B positions  3.7M/s  19m elapsed, 23m left
   48.4%  4087/4512 slices  4.58B/9.47B positions  3.8M/s  20m elapsed, 22m left
   49.3%  4088/4512 slices  4.67B/9.47B positions  3.8M/s  21m elapsed, 21m left
   49.5%  4100/4512 slices  4.69B/9.47B positions  3.8M/s  21m elapsed, 21m left
   49.9%  4115/4512 slices  4.73B/9.47B positions  3.8M/s  21m elapsed, 21m left
   50.1%  4124/4512 slices  4.75B/9.47B positions  3.8M/s  21m elapsed, 21m left
   50.4%  4128/4512 slices  4.77B/9.47B positions  3.7M/s  21m elapsed, 21m left
   50.8%  4132/4512 slices  4.81B/9.47B positions  3.8M/s  21m elapsed, 21m left
   51.1%  4133/4512 slices  4.84B/9.47B positions  3.8M/s  21m elapsed, 21m left
   51.3%  4137/4512 slices  4.86B/9.47B positions  3.8M/s  22m elapsed, 20m left
   51.6%  4142/4512 slices  4.88B/9.47B positions  3.8M/s  22m elapsed, 20m left
   52.0%  4145/4512 slices  4.92B/9.47B positions  3.8M/s  22m elapsed, 20m left
   52.2%  4150/4512 slices  4.94B/9.47B positions  3.8M/s  22m elapsed, 20m left
   52.8%  4152/4512 slices  5.00B/9.47B positions  3.8M/s  22m elapsed, 20m left
   53.0%  4155/4512 slices  5.02B/9.47B positions  3.8M/s  22m elapsed, 20m left
   53.2%  4157/4512 slices  5.04B/9.47B positions  3.8M/s  22m elapsed, 20m left
   53.4%  4159/4512 slices  5.05B/9.47B positions  3.8M/s  22m elapsed, 20m left
   54.1%  4160/4512 slices  5.12B/9.47B positions  3.8M/s  23m elapsed, 19m left
   54.3%  4162/4512 slices  5.14B/9.47B positions  3.8M/s  23m elapsed, 19m left
   54.5%  4163/4512 slices  5.16B/9.47B positions  3.8M/s  23m elapsed, 19m left
   54.7%  4164/4512 slices  5.18B/9.47B positions  3.8M/s  23m elapsed, 19m left
   54.9%  4166/4512 slices  5.20B/9.47B positions  3.7M/s  23m elapsed, 19m left
   55.1%  4167/4512 slices  5.22B/9.47B positions  3.7M/s  23m elapsed, 19m left
   55.9%  4168/4512 slices  5.30B/9.47B positions  3.7M/s  24m elapsed, 19m left
   56.2%  4170/4512 slices  5.32B/9.47B positions  3.7M/s  24m elapsed, 18m left
   56.4%  4171/4512 slices  5.34B/9.47B positions  3.7M/s  24m elapsed, 18m left
   56.8%  4172/4512 slices  5.38B/9.47B positions  3.7M/s  24m elapsed, 18m left
   57.1%  4174/4512 slices  5.41B/9.47B positions  3.7M/s  24m elapsed, 18m left
   57.4%  4175/4512 slices  5.43B/9.47B positions  3.7M/s  24m elapsed, 18m left
   58.2%  4176/4512 slices  5.51B/9.47B positions  3.7M/s  25m elapsed, 18m left
   58.4%  4178/4512 slices  5.53B/9.47B positions  3.7M/s  25m elapsed, 18m left
   58.6%  4186/4512 slices  5.55B/9.47B positions  3.7M/s  25m elapsed, 18m left
   58.7%  4188/4512 slices  5.56B/9.47B positions  3.7M/s  25m elapsed, 17m left
   58.9%  4195/4512 slices  5.58B/9.47B positions  3.7M/s  25m elapsed, 17m left
   59.1%  4201/4512 slices  5.60B/9.47B positions  3.7M/s  25m elapsed, 17m left
   59.6%  4206/4512 slices  5.65B/9.47B positions  3.7M/s  25m elapsed, 17m left
   59.8%  4211/4512 slices  5.66B/9.47B positions  3.7M/s  25m elapsed, 17m left
   60.0%  4213/4512 slices  5.68B/9.47B positions  3.7M/s  25m elapsed, 17m left
   60.2%  4219/4512 slices  5.70B/9.47B positions  3.7M/s  26m elapsed, 17m left
   60.8%  4221/4512 slices  5.76B/9.47B positions  3.7M/s  26m elapsed, 17m left
   61.1%  4226/4512 slices  5.79B/9.47B positions  3.7M/s  26m elapsed, 16m left
   61.5%  4228/4512 slices  5.82B/9.47B positions  3.7M/s  26m elapsed, 16m left
   61.8%  4232/4512 slices  5.85B/9.47B positions  3.7M/s  26m elapsed, 16m left
   62.0%  4240/4512 slices  5.87B/9.47B positions  3.7M/s  26m elapsed, 16m left
   62.2%  4242/4512 slices  5.89B/9.47B positions  3.7M/s  26m elapsed, 16m left
   62.5%  4243/4512 slices  5.91B/9.47B positions  3.7M/s  27m elapsed, 16m left
   63.3%  4244/4512 slices  5.99B/9.47B positions  3.7M/s  27m elapsed, 16m left
   63.4%  4245/4512 slices  6.01B/9.47B positions  3.7M/s  27m elapsed, 16m left
   63.7%  4252/4512 slices  6.03B/9.47B positions  3.7M/s  27m elapsed, 15m left
   63.9%  4256/4512 slices  6.05B/9.47B positions  3.7M/s  27m elapsed, 15m left
   64.2%  4264/4512 slices  6.08B/9.47B positions  3.7M/s  27m elapsed, 15m left
   64.5%  4274/4512 slices  6.11B/9.47B positions  3.7M/s  27m elapsed, 15m left
   64.9%  4277/4512 slices  6.14B/9.47B positions  3.7M/s  28m elapsed, 15m left
   65.1%  4283/4512 slices  6.17B/9.47B positions  3.7M/s  28m elapsed, 15m left
   65.8%  4288/4512 slices  6.23B/9.47B positions  3.7M/s  28m elapsed, 15m left
   66.1%  4293/4512 slices  6.26B/9.47B positions  3.7M/s  28m elapsed, 14m left
   66.5%  4297/4512 slices  6.30B/9.47B positions  3.7M/s  28m elapsed, 14m left
   66.9%  4306/4512 slices  6.33B/9.47B positions  3.7M/s  28m elapsed, 14m left
   67.2%  4307/4512 slices  6.37B/9.47B positions  3.7M/s  29m elapsed, 14m left
   68.0%  4308/4512 slices  6.44B/9.47B positions  3.7M/s  29m elapsed, 14m left
   68.1%  4309/4512 slices  6.45B/9.47B positions  3.7M/s  29m elapsed, 14m left
   68.4%  4316/4512 slices  6.47B/9.47B positions  3.7M/s  29m elapsed, 13m left
   68.6%  4323/4512 slices  6.49B/9.47B positions  3.7M/s  29m elapsed, 13m left
   68.8%  4328/4512 slices  6.52B/9.47B positions  3.7M/s  29m elapsed, 13m left
   69.0%  4338/4512 slices  6.54B/9.47B positions  3.7M/s  29m elapsed, 13m left
   69.4%  4341/4512 slices  6.57B/9.47B positions  3.7M/s  30m elapsed, 13m left
   69.6%  4348/4512 slices  6.59B/9.47B positions  3.7M/s  30m elapsed, 13m left
   70.4%  4351/4512 slices  6.67B/9.47B positions  3.7M/s  30m elapsed, 13m left
   70.7%  4355/4512 slices  6.70B/9.47B positions  3.7M/s  30m elapsed, 12m left
   70.9%  4358/4512 slices  6.72B/9.47B positions  3.7M/s  30m elapsed, 12m left
   71.2%  4364/4512 slices  6.74B/9.47B positions  3.7M/s  30m elapsed, 12m left
   71.5%  4365/4512 slices  6.77B/9.47B positions  3.7M/s  30m elapsed, 12m left
   72.1%  4366/4512 slices  6.83B/9.47B positions  3.7M/s  31m elapsed, 12m left
   72.3%  4367/4512 slices  6.85B/9.47B positions  3.7M/s  31m elapsed, 12m left
   72.7%  4377/4512 slices  6.88B/9.47B positions  3.7M/s  31m elapsed, 12m left
   73.1%  4384/4512 slices  6.92B/9.47B positions  3.7M/s  31m elapsed, 11m left
   73.9%  4390/4512 slices  7.00B/9.47B positions  3.7M/s  32m elapsed, 11m left
   74.3%  4395/4512 slices  7.04B/9.47B positions  3.7M/s  32m elapsed, 11m left
   74.5%  4400/4512 slices  7.06B/9.47B positions  3.7M/s  32m elapsed, 11m left
   74.8%  4401/4512 slices  7.09B/9.47B positions  3.7M/s  32m elapsed, 11m left
   75.4%  4402/4512 slices  7.14B/9.47B positions  3.7M/s  32m elapsed, 11m left
   75.5%  4403/4512 slices  7.15B/9.47B positions  3.7M/s  32m elapsed, 10m left
   82.5%  4410/4512 slices  7.81B/9.47B positions  3.6M/s  36m elapsed, 8m left
   82.6%  4417/4512 slices  7.83B/9.47B positions  3.6M/s  36m elapsed, 8m left
   83.0%  4421/4512 slices  7.86B/9.47B positions  3.6M/s  36m elapsed, 7m left
   83.9%  4426/4512 slices  7.94B/9.47B positions  3.6M/s  36m elapsed, 7m left
   84.1%  4429/4512 slices  7.97B/9.47B positions  3.6M/s  36m elapsed, 7m left
   84.5%  4432/4512 slices  8.00B/9.47B positions  3.6M/s  37m elapsed, 7m left
   84.9%  4433/4512 slices  8.04B/9.47B positions  3.6M/s  37m elapsed, 7m left
   85.2%  4435/4512 slices  8.07B/9.47B positions  3.6M/s  37m elapsed, 6m left
   85.5%  4436/4512 slices  8.10B/9.47B positions  3.6M/s  37m elapsed, 6m left
   86.2%  4437/4512 slices  8.16B/9.47B positions  3.6M/s  37m elapsed, 6m left
   87.0%  4438/4512 slices  8.24B/9.47B positions  3.6M/s  38m elapsed, 6m left
   87.2%  4441/4512 slices  8.26B/9.47B positions  3.6M/s  38m elapsed, 6m left
   87.5%  4443/4512 slices  8.28B/9.47B positions  3.6M/s  38m elapsed, 5m left
   87.8%  4445/4512 slices  8.31B/9.47B positions  3.6M/s  38m elapsed, 5m left
